education,interest,bias
11.18,0.2,0
15.3,0.21,0
16.29,0.26,0
12.51,0.31,0
10.21,0.33,0
19.26,0.34,0
12.23,0.39,0
10.79,0.42,0
19.17,0.43,0
14.33,0.46,0
5,0.5,0
19.46,0.54,0
13.84,0.55,0
17,0.55,0
11.11,0.57,0
18.7,0.64,0
18.8,0.68,0
6,0.75,0
12.63,0.75,0
15.64,0.75,0
14.66,0.77,0
16.12,0.79,0
17.25,0.79,0
10.32,0.83,0
15.34,0.84,0
16.54,0.86,0
13.46,0.87,0
15.5,0.88,0
16,0.89,0
11.6,0.97,0
16.29,0.99,0
1,1,0
11.8,1,0
25.7,1.25,0
11.4,1.6,1
7.5,1.3,0
8,1.3,1
10,1.5,1
26,1.75,1
9,1.5,0
10.5,1.5,0
27,1.5,1
17.5,1.5,0
28,1.5,1
28,2.5,1
25.3,1.5,0
26.3,1.5,0
29,1.7,1
23,1.75,1
14,1.75,1
27,1.75,0
24,1.9,1
4,2,0
25,2.2,1
15.3,2,1
12.5,2,1
25,2.6,1
22,1.8,1
21,2,1
29,2.35,0
16.5,2.5,1
11.25,2.5,1
12.25,3.8,1
13.32,4,1
6,2,1
20,2.5,1
24.5,2.5,0
20,2.79,1
25,3,1
20,3,0
21.5,3,0
19.5,2,1
10.75,3.03,1
4.5,2.75,1
6.91,3.47,0
7.47,3.48,0
3,3.5,0
21,3.25,1
11.32,3.5,1
22.25,3.5,0
22.25,3.5,0
16.32,3.5,1
22,3.5,1
24,3.5,1
23,3.66,1
22,3.75,0
15.32,3.81,1
25,3.5,1
2,4,0
7.44,4.18,0
25.3,3.9,1
3.5,3.5,1
25.5,4.3,1
25.5,4.6,1
25.25,4.9,1
25,5.3,1
7.26,4.51,0
2.5,4.35,1
1.5,5,0
1.85,5,1
24.25,5.03,0
24.46,5.11,0
27.81,5.12,0
18.94,5.13,0
7.49,5.14,0
5.91,5.18,0
15.7,5.3,0
15.42,5.31,0
13.34,5.42,0
17.65,5.51,0
13.98,5.55,0
19.67,5.6,0
18.29,5.62,0
13.2,5.68,0
28.7,5.69,0
25.31,5.74,0
10.21,5.77,0
24.5,5.83,0
17.42,5.92,0
16.86,5.97,0
1,6,0
1.85,6,1
6.89,6,0
25.25,5.7,1
10.39,6.06,0
27.52,6.07,0
28.91,6.27,0
17.28,6.28,0
28.93,6.31,0
15.09,6.33,0
15.47,6.38,0
16.91,6.48,0
5.29,6.52,0
7.91,6.54,0
18.36,6.55,0
27.64,6.58,0
22.65,6.6,0
17.96,6.62,0
5.62,6.65,0
5.13,6.7,0
5.76,6.74,0
13.05,6.75,0
23.23,6.75,0
15.69,6.77,0
24.73,6.82,0
5.89,6.88,0
25.5,6,1
25.14,7,0
18.84,7.02,0
23.42,7.02,0
7.51,7.06,0
11.65,7.09,0
13.84,7.09,0
25.16,7.09,0
25.32,7.15,0
27.96,7.19,0
25.55,7.23,0
7.53,7.26,0
22.95,7.33,0
2,7,1
7.99,7.58,0
27.28,7.63,0
10.95,7.64,0
17.47,7.69,0
10.28,7.72,0
18.36,7.72,0
16.74,7.73,0
17,7.75,0
23.28,7.99,0
1,8,0
5.85,8.06,0
25.57,8.35,0
6.96,8.49,0
28.1,8.51,0
5.71,8.53,0
26.83,8.68,0
28.09,8.68,0
3,8.75,1
29.25,8.83,0
4.27,8.95,0
2.7,9,0
2.25,8,1
22.94,9.11,0
28.11,9.2,0
4.5,9.5,1
26.73,9.52,0
5.18,9.63,0
7.87,9.69,0
5.11,9.75,0
7.18,9.76,0
5.27,9.79,0
6,9.8,1
7.37,9.85,0
4.91,9.9,0
4,10,0
7.5,9.85,1
7,1.8,1
8,1.6,1
9,1.5,1
14.32,4,1
31,1.4,1
32,1.4,1
33,1.5,1
34,1.75,1
35,2,1
35.5,2.5,1
28.5,2,1
29,3,1
30,3,1
31,3,1
32,3,1
33,3,1
34,3,1
34,3.3,1
33.5,3.7,1
33,4,1
32,4.25,1
31,4.35,1
30,4.35,1
29,4,1
28,3.5,1
28,3,1
6.3,5.54,0
7.1,5.3,0
14,4.28,0
18,4.95,0
13,5.21,0
5.8,4.44,0
6.2,4.96,0
12.5,4.38,0
15.9,4.14,0
15.6,4.15,0
6.9,4.99,0
8.7,4.48,0
4.2,4.2,0
10.2,5.7,0
17.1,4.91,0
5.2,5.06,0
9,4.21,0
12.9,5.02,0
16.7,4.92,0
18.8,5.66,0
34.7,0.79,0
20.9,0.74,0
23.6,0.51,0
32.8,0.27,0
21.9,0.02,0
25.5,0.93,0
32.3,0.22,0
27.7,0.99,0
21.2,0.1,0
30.5,0.55,0
31.3,0.59,0
31.8,0.32,0
30.3,0.87,0
26.9,0.35,0
23.4,0.72,0
26.2,0.46,0
31,0.33,0
28.4,0.21,0
26.4,0.83,0
24.9,0.08,0
34,9.49,0
33.7,5.64,0
31.9,8.45,0
33.6,8.23,0
31.3,9.24,0
31.1,5.66,0
29.7,9,0
29.2,6.3,0
34.2,7.17,0
30,8.06,0
30.8,8.67,0
33.1,8.74,0
30.6,7.71,0
34.5,5.1,0
30.5,8.47,0
32.3,5.62,0
34.1,5.57,0
31,8.25,0
32.1,8.84,0
34.9,9.73,0
29.5,8.52,0
29.9,5.41,0
34.3,7.69,0
31.5,6.44,0
32.4,5.59,0
34.6,6,0
30.2,6.43,0
34.4,7.7,0
33.2,5.17,0
31.2,8.33,0
